walker	cdf_0	cdf_1	log_l	log_p
28	1.801544605e+01	1.349752857e+01	-8.324278167e+00	-7.377758908e+00
29	-1.165026406e+01	2.484916869e-01	-1.139400239e+01	-7.377758908e+00
30	4.772516017e+00	1.897925658e+00	-8.324278397e+00	-7.377758908e+00
31	9.305118348e+00	-3.419943972e-01	-8.324278167e+00	-7.377758908e+00
32	1.939459919e+01	-6.802784923e+00	-8.324278167e+00	-7.377758908e+00
33	-1.893873724e+01	-9.849787378e+00	-1.139400239e+01	-7.377758908e+00
34	1.697597641e+01	3.645112609e-01	-8.324278167e+00	-7.377758908e+00
35	-1.416055288e+01	-1.490793129e+01	-1.139400239e+01	-7.377758908e+00
36	-1.760178127e+01	1.369145232e+01	-1.139400239e+01	-7.377758908e+00
37	5.049658206e+00	1.947856288e+01	-8.324278167e+00	-7.377758908e+00
38	1.367302611e+01	1.744410247e+01	-8.324278167e+00	-7.377758908e+00
39	1.358518664e+00	-9.348887159e+00	2.191430635e+00	-7.377758908e+00
40	1.803166861e+00	1.603913556e+01	-8.324614995e+00	-7.377758908e+00
41	4.558069116e+00	8.613280258e+00	-8.324278199e+00	-7.377758908e+00
42	-1.960190071e+01	-1.013494771e+01	-1.139400239e+01	-7.377758908e+00
43	1.380420231e+01	2.851809688e+00	-8.324278167e+00	-7.377758908e+00
44	2.763281320e+00	-7.908315678e+00	4.510532115e+00	-7.377758908e+00
45	6.676959741e+00	6.616167550e+00	-8.324278167e+00	-7.377758908e+00
46	1.551884296e+01	-2.223749068e+00	-8.324278167e+00	-7.377758908e+00
47	1.383149249e+01	1.739901161e+01	-8.324278167e+00	-7.377758908e+00
48	-2.374484381e+00	2.306854625e+00	-6.468028544e+00	-7.377758908e+00
49	6.913220449e+00	-8.659398222e+00	-6.293767583e+00	-7.377758908e+00
0	1.895252296e+00	1.772058125e+01	-8.324402303e+00	-7.377758908e+00
1	1.022397060e+01	-1.443776451e+01	-6.225087872e+00	-7.377758908e+00
2	-1.740400921e+01	-3.094948149e+00	-1.139400239e+01	-7.377758908e+00
3	4.375817755e+00	-9.938678842e+00	3.909802783e+00	-7.377758908e+00
4	-1.944229481e+01	-2.302694543e+00	-1.139400239e+01	-7.377758908e+00
5	1.614573859e+01	-5.550512447e+00	-8.324278167e+00	-7.377758908e+00
6	1.485360214e+01	-1.322421856e+01	-8.324278167e+00	-7.377758908e+00
7	-3.936072634e+00	1.958070981e+01	-1.427768814e+01	-7.377758908e+00
8	7.227586056e+00	1.587895208e+01	-8.324278167e+00	-7.377758908e+00
9	7.442024558e+00	1.936055650e+01	-8.324278167e+00	-7.377758908e+00
10	1.312937065e-01	1.274433211e+01	-8.427255625e+00	-7.377758908e+00
11	-1.202575800e+00	1.638766641e+00	-2.186544304e+00	-7.377758908e+00
12	-1.495846046e+01	5.058686173e+00	-1.139400239e+01	-7.377758908e+00
13	8.989948128e-02	-1.354515760e+00	1.344233099e+00	-7.377758908e+00
14	1.831806450e+01	9.394014402e+00	-8.324278167e+00	-7.377758908e+00
15	2.384017553e+00	-1.286556748e+01	3.115623412e+00	-7.377758908e+00
16	-1.585854020e+01	1.395775458e+01	-1.139400239e+01	-7.377758908e+00
17	9.414356023e+00	-5.404283492e+00	-8.324278137e+00	-7.377758908e+00
18	1.627955648e+01	1.939210477e+01	-8.324278167e+00	-7.377758908e+00
19	-4.476812193e-01	5.226517867e+00	-8.705584394e+00	-7.377758908e+00
20	-1.366111636e-01	9.060970824e+00	-8.724135631e+00	-7.377758908e+00
21	-1.490089913e+00	2.208018825e-01	-3.261360461e+00	-7.377758908e+00
22	1.465728236e+01	-9.259379552e+00	-8.324278167e+00	-7.377758908e+00
23	-1.516172005e+01	-8.736734234e+00	-1.139400239e+01	-7.377758908e+00
24	4.556041769e-01	-1.891269403e+00	1.902204222e+00	-7.377758908e+00
25	5.028429434e+00	-3.400278627e+00	-8.177291860e+00	-7.377758908e+00
26	5.817644152e+00	-1.554463901e+01	5.142672645e+00	-7.377758908e+00
27	1.978190868e+01	-1.527902424e+01	-8.324278167e+00	-7.377758908e+00
28	1.801544605e+01	1.349752857e+01	-8.324278167e+00	-7.377758908e+00
29	-2.388775613e+00	-5.969627220e+00	-1.010388117e+01	-7.377758908e+00
30	4.772516017e+00	1.897925658e+00	-8.324278397e+00	-7.377758908e+00
31	1.234556975e+01	-9.151370472e-01	-8.324278167e+00	-7.377758908e+00
32	1.807778830e+01	-1.222402576e+00	-8.324278167e+00	-7.377758908e+00
33	-1.757135572e+01	-8.570038397e+00	-1.139400239e+01	-7.377758908e+00
34	1.130549540e+01	3.246197538e+00	-8.324278167e+00	-7.377758908e+00
35	-1.430286590e+01	-1.504328331e+01	-1.139400239e+01	-7.377758908e+00
36	-1.716500765e+01	9.676782467e+00	-1.139400239e+01	-7.377758908e+00
37	5.049658206e+00	1.947856288e+01	-8.324278167e+00	-7.377758908e+00
38	1.306785135e+01	1.581927888e+01	-8.324278167e+00	-7.377758908e+00
39	1.358518664e+00	-9.348887159e+00	2.191430635e+00	-7.377758908e+00
40	1.803166861e+00	1.603913556e+01	-8.324614995e+00	-7.377758908e+00
41	4.558069116e+00	8.613280258e+00	-8.324278199e+00	-7.377758908e+00
42	-2.045670701e+00	-3.187671333e+00	-7.893214308e+00	-7.377758908e+00
43	9.479727457e+00	2.395079088e+00	-8.324278167e+00	-7.377758908e+00
44	2.763281320e+00	-7.908315678e+00	4.510532115e+00	-7.377758908e+00
45	7.761899289e+00	1.320824447e+01	-8.324278167e+00	-7.377758908e+00
46	1.126059306e+01	8.456705042e-01	-8.324278167e+00	-7.377758908e+00
47	1.244034687e+01	5.121998948e+00	-8.324278167e+00	-7.377758908e+00
48	-2.230051498e+00	2.224515546e+00	-5.851239927e+00	-7.377758908e+00
49	6.913220449e+00	-8.659398222e+00	-6.293767583e+00	-7.377758908e+00
0	1.895252296e+00	1.772058125e+01	-8.324402303e+00	-7.377758908e+00
1	1.022397060e+01	-1.443776451e+01	-6.225087872e+00	-7.377758908e+00
2	-1.669423567e+01	4.736691982e+00	-1.139400239e+01	-7.377758908e+00
3	4.375817755e+00	-9.938678842e+00	3.909802783e+00	-7.377758908e+00
4	-1.944229481e+01	-2.302694543e+00	-1.139400239e+01	-7.377758908e+00
5	1.614573859e+01	-5.550512447e+00	-8.324278167e+00	-7.377758908e+00
6	1.485360214e+01	-1.322421856e+01	-8.324278167e+00	-7.377758908e+00
7	-3.936072634e+00	1.958070981e+01	-1.427768814e+01	-7.377758908e+00
8	7.227586056e+00	1.587895208e+01	-8.324278167e+00	-7.377758908e+00
9	7.442024558e+00	1.936055650e+01	-8.324278167e+00	-7.377758908e+00
10	1.312937065e-01	1.274433211e+01	-8.427255625e+00	-7.377758908e+00
11	-1.202575800e+00	1.638766641e+00	-2.186544304e+00	-7.377758908e+00
12	-1.743060469e+01	3.799551992e+00	-1.139400239e+01	-7.377758908e+00
13	8.989948128e-02	-1.354515760e+00	1.344233099e+00	-7.377758908e+00
14	9.900545148e+00	6.457034905e+00	-8.324278167e+00	-7.377758908e+00
15	2.384017553e+00	-1.286556748e+01	3.115623412e+00	-7.377758908e+00
16	-1.585854020e+01	1.395775458e+01	-1.139400239e+01	-7.377758908e+00
17	9.414356023e+00	-5.404283492e+00	-8.324278137e+00	-7.377758908e+00
18	1.627955648e+01	1.939210477e+01	-8.324278167e+00	-7.377758908e+00
19	-4.476812193e-01	5.226517867e+00	-8.705584394e+00	-7.377758908e+00
20	-1.366111636e-01	9.060970824e+00	-8.724135631e+00	-7.377758908e+00
21	-1.490089913e+00	2.208018825e-01	-3.261360461e+00	-7.377758908e+00
22	1.461193121e+01	-9.124461204e+00	-8.324278167e+00	-7.377758908e+00
23	-9.552630573e+00	-9.063861961e-01	-1.139400239e+01	-7.377758908e+00
24	4.556041769e-01	-1.891269403e+00	1.902204222e+00	-7.377758908e+00
25	5.638446493e+00	-4.010219146e+00	-8.261519133e+00	-7.377758908e+00
26	5.817644152e+00	-1.554463901e+01	5.142672645e+00	-7.377758908e+00
27	1.978190868e+01	-1.527902424e+01	-8.324278167e+00	-7.377758908e+00
28	1.722295884e+01	1.295811063e+01	-8.324278167e+00	-7.377758908e+00
29	-7.880548811e-01	-5.170367663e+00	-3.454173595e+00	-7.377758908e+00
30	2.905329550e+00	1.110633948e+01	-8.324309617e+00	-7.377758908e+00
31	1.086211638e+01	-1.701616467e+00	-8.324278167e+00	-7.377758908e+00
32	1.758357591e+01	-3.062074927e+00	-8.324278167e+00	-7.377758908e+00
33	-1.757135572e+01	-8.570038397e+00	-1.139400239e+01	-7.377758908e+00
34	1.283361382e+01	3.561569586e+00	-8.324278167e+00	-7.377758908e+00
35	-1.430286590e+01	-1.504328331e+01	-1.139400239e+01	-7.377758908e+00
36	-1.716500765e+01	9.676782467e+00	-1.139400239e+01	-7.377758908e+00
37	5.049658206e+00	1.947856288e+01	-8.324278167e+00	-7.377758908e+00
38	1.877402713e+01	1.321513636e+01	-8.324278167e+00	-7.377758908e+00
39	2.060925837e+00	-1.071619278e+01	3.328270070e+00	-7.377758908e+00
40	3.712551315e+00	9.128617164e+00	-8.324280186e+00	-7.377758908e+00
41	4.558069116e+00	8.613280258e+00	-8.324278199e+00	-7.377758908e+00
42	-2.045670701e+00	-3.187671333e+00	-7.893214308e+00	-7.377758908e+00
43	1.211302826e+01	3.645864852e+00	-8.324278167e+00	-7.377758908e+00
44	1.742155666e+00	-9.292739226e+00	3.217817770e+00	-7.377758908e+00
45	6.174999790e+00	9.797113859e+00	-8.324278167e+00	-7.377758908e+00
46	1.546947943e+01	1.051934045e+00	-8.324278167e+00	-7.377758908e+00
47	1.630523273e+01	7.148726349e+00	-8.324278167e+00	-7.377758908e+00
48	-2.230051498e+00	2.224515546e+00	-5.851239927e+00	-7.377758908e+00
49	6.913220449e+00	-8.659398222e+00	-6.293767583e+00	-7.377758908e+00
0	1.895252296e+00	1.772058125e+01	-8.324402303e+00	-7.377758908e+00
1	1.022397060e+01	-1.443776451e+01	-6.225087872e+00	-7.377758908e+00
