walker	cdf_0	cdf_1	log_l	log_p
8	2.503426774e+00	-9.101095634e+00	5.047415959e+00	-7.377758908e+00
9	3.249145472e+00	-6.736493322e+00	3.479747613e+00	-7.377758908e+00
0	-1.518254133e+01	2.410567009e+00	-1.137678112e+01	-7.377758908e+00
1	2.675481072e+00	-1.177855271e+01	4.621909390e+00	-7.377758908e+00
2	3.906258826e+00	-9.542992780e+00	4.862404238e+00	-7.377758908e+00
3	2.879025962e+00	-1.183461168e+01	4.913598576e+00	-7.377758908e+00
4	-1.067474709e+00	7.487351188e+00	-9.594900687e+00	-7.377758908e+00
5	7.372912334e+00	-5.189228018e+00	-7.815631433e+00	-7.377758908e+00
6	1.157844738e+01	1.673972824e+01	-7.816639694e+00	-7.377758908e+00
7	3.113100291e+00	-1.010618025e+01	5.390237209e+00	-7.377758908e+00
8	1.776023181e+00	-8.871960884e+00	3.981839395e+00	-7.377758908e+00
9	3.452010004e+00	-4.953473461e+00	-3.429433546e-01	-7.377758908e+00
0	-1.650223921e+01	2.417198470e+00	-1.137678112e+01	-7.377758908e+00
1	2.662021623e+00	-1.177484579e+01	4.600856779e+00	-7.377758908e+00
2	3.906258826e+00	-9.542992780e+00	4.862404238e+00	-7.377758908e+00
3	2.882733997e+00	-1.183563292e+01	4.918448856e+00	-7.377758908e+00
4	8.059986593e-01	2.330224847e+00	-6.273676541e+00	-7.377758908e+00
5	6.194031926e+00	-6.837250918e+00	-6.589283860e+00	-7.377758908e+00
6	1.157844738e+01	1.673972824e+01	-7.816639694e+00	-7.377758908e+00
7	2.921100048e+00	-1.032779943e+01	5.267343480e+00	-7.377758908e+00
8	1.776023181e+00	-8.871960884e+00	3.981839395e+00	-7.377758908e+00
9	4.841705972e+00	-8.778901566e+00	1.813168615e+00	-7.377758908e+00
0	-1.650223921e+01	2.417198470e+00	-1.137678112e+01	-7.377758908e+00
1	2.662021623e+00	-1.177484579e+01	4.600856779e+00	-7.377758908e+00
2	6.214741361e+00	-1.838390098e+01	5.982323874e+00	-7.377758908e+00
3	4.438495393e+00	-1.297950888e+01	5.707725622e+00	-7.377758908e+00
4	9.820146543e-01	2.975299781e-01	-2.169161121e+00	-7.377758908e+00
5	6.194031926e+00	-6.837250918e+00	-6.589283860e+00	-7.377758908e+00
6	1.157844738e+01	1.673972824e+01	-7.816639694e+00	-7.377758908e+00
7	2.921100048e+00	-1.032779943e+01	5.267343480e+00	-7.377758908e+00
8	1.776023181e+00	-8.871960884e+00	3.981839395e+00	-7.377758908e+00
9	4.841705972e+00	-8.778901566e+00	1.813168615e+00	-7.377758908e+00
0	-1.650223921e+01	2.417198470e+00	-1.137678112e+01	-7.377758908e+00
1	2.662021623e+00	-1.177484579e+01	4.600856779e+00	-7.377758908e+00
2	6.214741361e+00	-1.838390098e+01	5.982323874e+00	-7.377758908e+00
3	4.071024976e+00	-1.242233750e+01	5.676256502e+00	-7.377758908e+00
4	9.820146543e-01	2.975299781e-01	-2.169161121e+00	-7.377758908e+00
5	6.194031926e+00	-6.837250918e+00	-6.589283860e+00	-7.377758908e+00
6	1.179015442e+01	1.766673925e+01	-7.816639694e+00	-7.377758908e+00
7	3.060037750e+00	-1.041896608e+01	5.356345693e+00	-7.377758908e+00
8	1.487615172e+00	-8.505282011e+00	3.465445245e+00	-7.377758908e+00
9	4.841705972e+00	-8.778901566e+00	1.813168615e+00	-7.377758908e+00
0	-7.712706850e+00	7.154737962e+00	-1.137717034e+01	-7.377758908e+00
1	2.364981842e+00	-1.219009433e+01	3.873765714e+00	-7.377758908e+00
2	6.214741361e+00	-1.838390098e+01	5.982323874e+00	-7.377758908e+00
3	4.071024976e+00	-1.242233750e+01	5.676256502e+00	-7.377758908e+00
4	9.820146543e-01	2.975299781e-01	-2.169161121e+00	-7.377758908e+00
5	1.032822151e+01	-5.372026497e+00	-7.816639694e+00	-7.377758908e+00
6	1.179015442e+01	1.766673925e+01	-7.816639694e+00	-7.377758908e+00
7	2.912519474e+00	-1.012664399e+01	5.280466938e+00	-7.377758908e+00
8	1.487615172e+00	-8.505282011e+00	3.465445245e+00	-7.377758908e+00
9	4.472508575e+00	-7.910698743e+00	1.584002112e+00	-7.377758908e+00
0	-1.399067829e+01	1.491663450e+01	-1.137678135e+01	-7.377758908e+00
1	2.076029385e+00	-1.177294463e+01	3.399772508e+00	-7.377758908e+00
2	6.214741361e+00	-1.838390098e+01	5.982323874e+00	-7.377758908e+00
3	4.071024976e+00	-1.242233750e+01	5.676256502e+00	-7.377758908e+00
4	9.820146543e-01	2.975299781e-01	-2.169161121e+00	-7.377758908e+00
5	9.752226942e+00	-1.444918988e+01	-4.398303441e+00	-7.377758908e+00
6	1.179015442e+01	1.766673925e+01	-7.816639694e+00	-7.377758908e+00
7	3.633922950e+00	-1.402201646e+01	5.274304716e+00	-7.377758908e+00
8	1.705165013e+00	-9.418959678e+00	3.586882061e+00	-7.377758908e+00
9	3.730631495e+00	-8.315037486e+00	4.166164353e+00	-7.377758908e+00
0	-1.399067829e+01	1.491663450e+01	-1.137678135e+01	-7.377758908e+00
1	2.076029385e+00	-1.177294463e+01	3.399772508e+00	-7.377758908e+00
2	6.214741361e+00	-1.838390098e+01	5.982323874e+00	-7.377758908e+00
3	4.071024976e+00	-1.242233750e+01	5.676256502e+00	-7.377758908e+00
4	9.820146543e-01	2.975299781e-01	-2.169161121e+00	-7.377758908e+00
5	1.212656580e+01	-1.527698425e+01	-7.688980302e+00	-7.377758908e+00
6	9.860806108e+00	5.191566368e+00	-7.816639694e+00	-7.377758908e+00
7	3.633922950e+00	-1.402201646e+01	5.274304716e+00	-7.377758908e+00
8	1.705165013e+00	-9.418959678e+00	3.586882061e+00	-7.377758908e+00
9	2.299331718e+00	-7.128197227e+00	4.876662173e+00	-7.377758908e+00
0	-1.399067829e+01	1.491663450e+01	-1.137678135e+01	-7.377758908e+00
1	1.069794038e+00	-1.016563830e+01	1.322335245e+00	-7.377758908e+00
2	5.277166079e+00	-1.652002138e+01	5.909921037e+00	-7.377758908e+00
3	4.071024976e+00	-1.242233750e+01	5.676256502e+00	-7.377758908e+00
4	2.230943706e+00	-6.446329745e+00	4.677267374e+00	-7.377758908e+00
5	7.418246808e+00	-1.310041339e+01	6.018308453e-01	-7.377758908e+00
6	1.130509226e+01	9.648035328e+00	-7.816639694e+00	-7.377758908e+00
7	3.633922950e+00	-1.402201646e+01	5.274304716e+00	-7.377758908e+00
8	1.694048055e+00	-9.396859405e+00	3.569879670e+00	-7.377758908e+00
9	4.231210978e+00	-9.742557387e+00	4.521155344e+00	-7.377758908e+00
0	-1.399067829e+01	1.491663450e+01	-1.137678135e+01	-7.377758908e+00
1	1.069794038e+00	-1.016563830e+01	1.322335245e+00	-7.377758908e+00
2	5.721789859e+00	-1.777632361e+01	5.963211732e+00	-7.377758908e+00
3	4.071024976e+00	-1.242233750e+01	5.676256502e+00	-7.377758908e+00
4	2.800628857e+00	-9.522466652e+00	5.244173204e+00	-7.377758908e+00
5	7.418246808e+00	-1.310041339e+01	6.018308453e-01	-7.377758908e+00
6	1.130509226e+01	9.648035328e+00	-7.816639694e+00	-7.377758908e+00
7	3.552438676e+00	-1.460583632e+01	5.029895896e+00	-7.377758908e+00
8	1.694048055e+00	-9.396859405e+00	3.569879670e+00	-7.377758908e+00
9	4.077113544e+00	-1.084663721e+01	5.344422524e+00	-7.377758908e+00
0	-1.399067829e+01	1.491663450e+01	-1.137678135e+01	-7.377758908e+00
1	1.017858599e+00	-1.018493731e+01	1.133694358e+00	-7.377758908e+00
2	5.721789859e+00	-1.777632361e+01	5.963211732e+00	-7.377758908e+00
3	4.071024976e+00	-1.242233750e+01	5.676256502e+00	-7.377758908e+00
