walker	cdf_0	cdf_1	model1_0	model2_0	log_l	log_p
17	-3.393180350e-01	-1.090521397e+00	2.596959206e+00	1.073976024e+00	-3.476239057e+01	-5.708939715e+00
18	-8.603676408e-01	-1.116670732e+00	4.706887742e+00	1.160419660e-02	-2.229684570e+01	-6.050345892e+00
19	9.940448876e-01	6.643611812e-01	3.441774336e+00	1.114483637e+00	-8.293123865e+01	-5.771503400e+00
20	6.326617137e-01	-1.928319609e-01	3.353337255e+00	1.228911130e+00	-1.608708267e+01	-5.275475396e+00
21	1.130924852e-02	-2.390087232e-01	2.375895114e+00	1.505912903e+00	-3.971711305e+01	-5.085379426e+00
22	-1.847240574e-01	1.482243662e-01	2.203612838e+00	-1.633525715e+00	-6.152721302e+01	-5.084799611e+00
23	-5.132758516e-01	-1.678151243e+00	5.609586761e+00	-8.410437147e-01	-4.477058664e+01	-6.596574738e+00
24	-3.152076196e-01	-3.689251925e-03	4.042659801e+00	1.437052609e+00	-1.015412114e+01	-5.106437618e+00
25	5.232492827e-01	-1.954304655e-01	3.085672993e+00	4.194670239e-01	-2.438309116e+01	-5.212744331e+00
26	1.129469630e-01	8.577885855e-01	2.316464449e+00	9.991929724e-01	-1.133287002e+02	-5.431032028e+00
27	2.004555017e+00	6.412395102e-01	1.109516619e+00	-1.496854250e+00	-1.359759348e+02	-7.271467355e+00
28	-5.062315567e-01	-4.512654830e-01	2.091800639e+00	1.902829834e-01	-4.578059546e+01	-5.286708354e+00
29	2.507055067e-01	1.479902656e-01	2.870755658e+00	2.005574168e-01	-3.693156597e+01	-5.099130076e+00
30	-9.548715749e-02	-3.482761960e-01	2.692444858e+00	1.935212990e+00	-3.643755941e+01	-5.121959944e+00
31	5.135093130e-02	-2.198263764e-01	2.669197795e+00	2.020317635e+00	-3.699232599e+01	-5.082233168e+00
32	1.134975062e+00	2.132811616e-01	4.680303289e+00	6.587882061e-01	-2.840957280e+01	-5.723581514e+00
33	2.418159130e-01	5.317565950e-01	2.702394919e+00	1.350786119e+00	-6.912134725e+01	-5.227372897e+00
34	-4.086418655e-01	-5.244970817e-01	4.063352116e+00	7.723285114e-01	-1.257540414e+01	-5.277795573e+00
35	5.982003457e-01	1.974071687e-01	4.642309364e+00	-1.895028242e+00	-6.952448188e+01	-5.255159513e+00
36	-1.005723482e+00	-6.642217833e-01	2.227884180e+00	2.811137229e+00	-7.433632656e+01	-5.783088041e+00
37	-3.784956011e-01	9.148132147e-01	2.771423494e+00	4.978514215e-01	-1.049518730e+02	-5.546823960e+00
38	7.238208382e-01	-3.315249941e-01	1.686784435e+00	-1.559213716e+00	-6.606661610e+01	-5.373665605e+00
39	-2.586304271e-01	-1.948839294e-01	5.358643891e+00	1.428605645e+00	-8.478854559e+00	-5.109187613e+00
40	9.695169658e-01	-2.337610747e-01	3.013189752e+00	1.570032588e+00	-2.319487815e+01	-5.554056585e+00
41	-1.835645956e-01	-2.478259456e-01	4.022771015e+00	1.907088257e+00	-1.186019047e+01	-5.104309721e+00
42	1.696327589e-01	-6.244658778e-01	4.600867098e+00	1.531618931e-01	-1.420377774e+01	-5.266119344e+00
43	-8.277336065e-01	1.720554483e+00	1.141274423e+00	6.528954281e-01	-1.551673963e+02	-6.879478217e+00
44	-2.116901455e-01	7.772155495e-01	3.518514755e+00	1.267623905e+00	-7.867123493e+01	-5.381191255e+00
45	-4.453649900e-01	-5.250575510e-01	1.204397446e+00	-4.947840539e-01	-6.980392033e+01	-5.293770594e+00
46	9.511193293e-01	1.705961081e+00	5.192916156e+00	-1.842551538e+00	-1.571218137e+02	-6.964218486e+00
47	-2.500572473e-01	2.272431710e-01	2.689820340e+00	-8.419327384e-01	-5.198036409e+01	-5.113836934e+00
48	-1.348088339e+00	-4.148080880e-01	3.958140825e+00	-1.165318036e+00	-5.495844359e+01	-6.051456850e+00
49	-8.645039424e-01	2.992539555e-01	2.187918889e+00	1.267132709e+00	-5.473055095e+01	-5.475212889e+00
0	2.591573749e-01	9.181447408e-01	3.719584810e+00	7.233238759e-02	-1.044376747e+02	-5.511829046e+00
1	-2.627978456e+00	-1.895703956e-01	1.429500413e+00	-1.363294258e+00	-9.112930450e+01	-8.527856741e+00
2	8.350987683e-01	-2.211809993e+00	4.596734597e+00	1.664006582e+00	-2.026062948e+01	-7.851499590e+00
3	-5.118732995e-02	-3.413164515e-01	3.496839092e+00	1.339499304e+00	-1.568913338e+01	-5.116311423e+00
4	2.359638678e-01	-2.011784440e-01	2.529319704e+00	3.617053670e-01	-3.387409300e+01	-5.104828748e+00
5	-1.058600856e+00	3.513355045e-01	3.344630097e+00	-6.720977588e-02	-3.819836856e+01	-5.678789096e+00
6	1.889695891e+00	-1.242355453e+00	2.114974960e+00	1.580511586e+00	-4.560534687e+01	-7.613951707e+00
7	1.083839932e+00	-4.705855375e-02	4.595085016e+00	1.295723362e+00	-7.993401047e+00	-5.645214644e+00
8	-1.186786849e+00	4.188486918e-01	4.901102136e+00	-1.179544015e-01	-3.726619301e+01	-5.848701517e+00
9	5.859821926e-01	-2.018119873e+00	4.314330475e+00	5.518868785e-01	-1.556611876e+01	-7.264844366e+00
10	-2.409039873e-01	-1.127268420e-01	3.066259253e+00	7.581705034e-01	-2.427200389e+01	-5.092123927e+00
11	6.452525128e-01	5.132327088e-01	3.627767866e+00	2.087973562e+00	-5.757546352e+01	-5.396632201e+00
12	-1.033818299e+00	-7.241837366e-01	2.888293858e+00	1.757087699e+00	-3.805451246e+01	-5.853364071e+00
13	1.496016811e-01	-5.742621594e-02	4.289402232e+00	1.375092528e+00	-6.813070115e+00	-5.069592108e+00
14	1.793589944e-01	-1.818405511e-01	1.170696180e+00	4.689238478e-01	-6.561318474e+01	-5.089370709e+00
15	3.708797823e-01	-1.813451473e-01	4.877074443e+00	1.094168915e+00	-4.385709430e+00	-5.141971829e+00
16	1.113225774e+00	-7.409389006e-01	4.466822361e+00	1.542879237e+00	-5.047463907e+00	-5.950883930e+00
17	-3.393180350e-01	-1.090521397e+00	2.596959206e+00	1.073976024e+00	-3.476239057e+01	-5.708939715e+00
18	-4.679585981e-01	-7.406654995e-01	4.120079059e+00	6.555620892e-01	-1.459332446e+01	-5.440538207e+00
19	9.940448876e-01	6.643611812e-01	3.441774336e+00	1.114483637e+00	-8.293123865e+01	-5.771503400e+00
20	6.030645618e-01	-1.664222128e-01	3.315942809e+00	1.149225709e+00	-1.707201011e+01	-5.252444501e+00
21	1.130924852e-02	-2.390087232e-01	2.375895114e+00	1.505912903e+00	-3.971711305e+01	-5.085379426e+00
22	1.934552751e-01	-2.822285601e-03	2.737588826e+00	-2.976609276e-01	-3.732150382e+01	-5.075469346e+00
23	-5.132758516e-01	-1.678151243e+00	5.609586761e+00	-8.410437147e-01	-4.477058664e+01	-6.596574738e+00
24	-3.152076196e-01	-3.689251925e-03	4.042659801e+00	1.437052609e+00	-1.015412114e+01	-5.106437618e+00
25	5.246383407e-01	-1.938414668e-01	3.124081774e+00	4.273290772e-01	-2.371276691e+01	-5.213162843e+00
26	1.129469630e-01	8.577885855e-01	2.316464449e+00	9.991929724e-01	-1.133287002e+02	-5.431032028e+00
27	2.004555017e+00	6.412395102e-01	1.109516619e+00	-1.496854250e+00	-1.359759348e+02	-7.271467355e+00
28	-4.867486182e-01	-4.465579621e-01	2.151958039e+00	2.394872356e-01	-4.393734258e+01	-5.274922007e+00
29	2.507055067e-01	1.479902656e-01	2.870755658e+00	2.005574168e-01	-3.693156597e+01	-5.099130076e+00
30	-9.548715749e-02	-3.482761960e-01	2.692444858e+00	1.935212990e+00	-3.643755941e+01	-5.121959944e+00
31	5.135093130e-02	-2.198263764e-01	2.669197795e+00	2.020317635e+00	-3.699232599e+01	-5.082233168e+00
32	6.951026956e-01	-2.914895874e-01	4.928303224e+00	2.585247442e-01	-1.046884206e+01	-5.340819860e+00
