cdf_0 cdf_1 model1_0 model2_0
1.6019746473118541 -0.23036626870399157 4.609163257093608 1.1114826527587367
2.0974080251128653 -0.39629242943985016 4.486680762486282 0.9946533965571004
1.784832321945301 -0.5966192707538487 5.19849256579129 1.1633085705291157
2.262295286355952 -0.4607917261343787 4.765594053523044 0.858595820146869
2.677758817967419 -0.7328047507352422 4.361747180481773 1.0426874216300257
3.1813124580604306 -0.7104656891838858 4.429017002801784 1.2614960206516945
1.9720134884404925 -0.5016908479494306 4.919103535345525 1.4739236332455732
2.1967557585099735 -0.4517065118114538 5.029575278842525 1.3849827988910919
1.9872296178309596 -0.44158996841585835 4.943575755068224 1.3320622730642036
2.0345878747336057 -0.41778011418581507 4.680037952611827 0.839675910898533
1.2670672831058498 -0.5623833485257066 4.5441901792833 1.5580695051274218
1.101516799029684 -0.3817619024265933 5.0148500713270066 1.0730047511952974
0.9590070080075258 -0.39765045141144933 4.633641605198314 1.3241054725741603
1.226921241355258 -0.2110807055778487 4.966135124333282 1.4430812257939925
1.6853966299841225 -0.46871517856856354 4.807327066284243 1.6424594185238228
1.8009698194980834 -0.7058374022578942 4.683565233954773 1.3069434830518685
1.0221984799535686 -0.5394429663198224 5.024367827446599 0.67992306137809
1.050198930337687 -0.6703808499147946 5.255613313422635 0.9106270916449242
0.4593389107406505 -0.21918372738004616 5.042230097202803 1.2917662021995258
0.38782635058778103 -0.3324598284377112 5.445178238342133 0.9140149431394372
1.5115305734621898 -0.23654246453695993 4.840735899473247 1.5214720547504252
1.1548774244255506 -0.5088306417516081 4.6991551062356045 1.8873363718240854
1.1911392015870503 -0.4090714768445556 4.570125591783843 1.7746566262965968
2.647027985660161 -0.6185829763992978 4.802105700814527 1.2434455673916325
3.3013947082596506 -0.7356213276955812 4.812572900433537 1.2896762584468655
3.072983482822149 -0.6675302743545952 4.709969519784115 1.254725736890449
0.5868555032833398 -0.6016918678399481 3.9522095164726574 1.3765120749580326
1.33691102458168 -0.461654469225174 4.875988079660706 1.4785648888047593
1.363733317563669 -0.23974225542505923 4.61050208837637 1.3338868456002513
1.5483424634679839 -0.40009182431185575 4.896753821608531 1.8462814133547472
0.5266782714997231 -0.3997676566731747 4.215994118682331 0.8589015029316334
0.9622322636207763 -0.4395892407153317 4.668567412034997 1.1583924461188888
2.111938950059907 -0.9866327657113151 4.687114593530076 1.2061253546422592
1.4610753407225119 -0.4176995678450165 4.966815917279441 1.290451931645992
2.7806140875726824 -1.3183072034093715 4.55278624763438 1.0200178408108034
1.9951917792622627 -0.9281628753033293 4.7365965677444715 1.2274998296494264
1.9890103649895237 -0.9668132708953961 4.822754384270124 1.2244417263245444
2.7141151754838453 -0.7841333818263563 4.282203260429211 1.2729126963036852
2.149926844259785 -0.738227353161469 4.494171013498569 1.274625315166514
2.0292780036814633 -0.7614474551395944 4.513085991082823 1.2769721290334146
1.0281330273132823 -1.1394149725569118 5.4089701021811845 1.1854305658809698
0.4349258446315396 -0.2208909306834701 4.016520544137128 1.540417148889292
2.180980433837635 -0.6008147051588619 4.587264076958184 0.7316903535204711
2.9173999858381365 -0.8061087209245785 4.678057490658012 1.2878055829788884
2.0935465801712745 -0.6160355627132694 4.513680642739736 1.3303247495046504
0.5185067874078427 -0.22450305809275514 4.38179169055043 1.6893052788050857
0.5185067874078427 -0.22450305809275514 4.38179169055043 1.6893052788050857
1.5989266355677365 -0.5785503155949901 4.674200090298413 1.4973552803704742
0.3812752201688747 -0.900659463846248 4.628322767785642 1.3004858349296566
1.2377909483358853 -0.3912013888581485 4.860104024220644 1.2738915419616201
2.885073386719774 -0.6865794347126524 4.554273606035662 1.4413989839159098
0.8682256519837526 -0.35862910196219355 4.7876425699395355 1.6179514220752695
1.0208663965311842 -0.34032474599660417 4.700535415474455 1.345853115314576
1.2822235554487171 -0.43132885849551345 4.69608723544999 1.2634032079131892
1.2822235554487171 -0.43132885849551345 4.69608723544999 1.2634032079131892
1.1335052773805103 -0.38824790046496716 5.010780360954964 1.1291555423153208
1.5676470485168668 -0.49760252807759897 4.818826037598155 1.5020485051060457
1.0430223587426084 -0.5306838136753812 5.430721885424552 1.160443278847777
0.9353245219444539 -0.41926466725977796 4.711880944120083 1.5090088205379972
1.3956221688251744 -0.8702978342221752 4.558063504434294 1.5177484542459363
0.9332045183421949 -0.44559796357107956 5.190708794051565 1.2802367860432278
1.459957287049003 -0.27231738863263844 5.6829613448679765 1.9401903847660331
0.7159753634167417 -0.44398171305492673 4.301802790532602 0.8350960952667158
0.4220741901746723 -0.3637651232721205 4.440728754056091 1.094530127506624
0.38817012928420236 -0.38449296391348814 4.447605907235174 1.1128906998081358
0.9948140936502572 -0.4170288323998851 4.5225817546138245 1.2908185179854823
1.235675395668254 -1.14800023469757 4.44382843138853 1.4461745625459186
0.2314809697424347 -0.24343667810775593 4.546550357612523 1.6573048225828244
0.536757465352088 -0.9386453395388198 4.9595032018279985 0.9069898930156188
2.613626834868671 -0.6525236530030918 4.6269422871721115 1.3544018313887822
2.2106849906146238 -0.4108738314570148 4.756701994923615 1.2676695411237575
0.2698669382259224 -0.1523327227021885 4.903307513163276 1.354387084056053
1.6984827421485933 -0.3879495843481309 4.774302784776836 1.0101114542148697
1.5456289417338922 -0.40153645870422927 4.5380514784356505 1.5625748624907758
0.9633071239827204 -0.5934284518043843 5.051215737493494 1.552619737646479
1.6120286599629616 -0.6610040891270431 4.981836333560101 1.1519696532967103
1.614722592414736 -0.6663039868689985 4.9984626154339535 1.1509748409943075
1.5686648059904027 -0.6564321929186827 4.67825657214442 1.7013033960464483
0.4261223485545875 -0.295376134066123 4.692606982734568 1.3514973642793022
0.6130185639497789 -0.312529043013607 4.739735692718758 1.2423266885937865
0.6239305942997222 -0.362871892789971 4.799230122907067 1.7510695892461734
0.3553292589613888 -0.2962296438775106 5.354271966140443 1.3012892898723982
1.5925936591618075 -0.574624286315369 4.558381066687509 1.4662137557280686
1.5652755558676938 -0.6557445746295711 5.000289371169241 1.193221512782019
0.3645533099380994 -0.25753048614204754 4.862546659896688 1.3841233377086852
1.693105864841121 -0.8519208424736515 4.411005619610562 1.5152490427514715
0.7783798645887265 -0.5007016620731597 4.351090917540664 1.712905145607706
1.7452632104872527 -0.4508158783429367 4.394153874109637 1.6505300405199264
2.0756918534689075 -0.48572017418721275 4.497992320585439 1.511352952996569
1.9090817071598967 -0.47702170126366117 4.968163982872316 1.597463004101337
2.373306781230631 -0.5812052458032994 5.0508345438061895 1.7020353898098035
1.312223343074486 -0.445467248733005 4.631458724938065 1.6866914781010407
2.3415730427774375 -0.7939089242605889 4.463615944494183 1.9491571081815455
1.3301463598690382 -0.5506692160299856 4.590024512923533 1.849794875062742
2.6391778849204024 -0.6952438633558446 5.08976966192315 1.2643667682144362
1.148116440150082 -0.2564844736562931 4.59034321791937 1.3267925310750206
1.0491376093999412 -0.9653939711155664 4.822269518074013 1.1498774995160814
1.5889657114343045 -0.5388646729530335 5.14835114588154 0.825365303409124
1.5628583613813993 -0.45014694800978905 4.974304501842318 1.1325911004657958
1.308263660183743 -0.5424433562134897 4.134475274030921 1.529801189798226
0.5796509765563486 -0.2813908755185328 4.567058675237686 1.3385059486210589
1.2804887590615284 -0.30734377824375536 4.428035852253285 1.3916893258241125
0.9913809005342729 -0.37766416984408785 4.803344080190455 1.5145372481678085
2.566832127364223 -0.8203291414015036 5.085755748806565 1.0198343513482835
0.8487655549796478 -0.2339581925844148 4.697445379302552 1.154429473537918
1.6243984851814077 -0.9304282529988664 4.759416532636378 1.4896458275395865
0.8606221156566686 -0.36827410724816545 4.4589556551742655 0.9470060399499995
0.12318009912351738 -0.23689926090161176 5.111265282359765 1.4256396319260027
1.4275083507574124 -0.6851128024307669 4.957335359045046 1.1322347905287526
1.2860654460426595 -0.3860147903679507 4.352270683727774 1.3648000127302984
1.9355209442141517 -0.7845991925610374 4.964022548460426 1.6076357777489134
2.204323403718379 -0.9315053796778182 4.969456353477058 1.524371103921584
0.7251719675580153 -0.6277782202461288 5.413363539288958 1.2826999509931636
0.44743469851237583 -0.12348703865692406 4.988927695236372 1.2434912013716022
1.3081061292951217 -0.45678213286477093 4.820501687194899 1.2983306122471618
1.5448868033315182 -0.4219222429913845 4.976375421287386 1.075280499370646
0.9468492925220492 -0.30449601498324996 4.532819841062363 0.9586793012696454
2.0552763331559816 -0.4754289157852127 4.790528785317111 1.4336959410768684
2.3768645555302355 -0.42646266318387493 4.943845775094877 1.452162783298802
1.7867955844536718 -0.4431014290172918 4.830789659047612 1.405675363287258
1.8626104239836643 -0.42427879619059916 4.873733944199973 1.358199574435646
2.373974695914243 -0.4478805143911326 4.877319472204045 1.4436096504338505
1.3967365755750996 -0.8017996783584522 4.800111917385147 1.6580180481090065
0.7062759967141788 -0.5882041366881543 5.039970379752491 1.2402090316734218
0.9804354469883881 -0.5614638665286756 4.893595002531478 1.1952054125540474
1.7436828643273061 -0.4583449947056089 4.843879924568192 0.7173948709714767
